"","id","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana","Cluster"
"36508","cf440de8d60ff7d7350765fc2553f7bc",255,72,2,36.4285714285714,255,31,"1"
"36509","cf4515cc09873a317fb2909b20326e18",13,13,3,13,11,13,"2"
"36510","cf4696edce7f2833e5c16fbd98b2a9a3",19,15,2,9.5,19,6,"2"
"36511","cf476c5268b416a68a48eda8e5a53d01",72,72,2,37,72,17,"3"
"36512","cf4848c29a855ba7c5d9c058d6da4cf6",131,103,3,43.6666666666667,74,57,"3"
"36513","cf488a683440e1b9aa1aba9e75fe676e",206,91,3,41.2,169,37,"1"
"36514","cf4960fd2c92146c3e391d3f6b16478d",22,22,2,22,22,21,"2"
"36515","cf4a26b4e48a826a46742e1a0f1fb843",27,27,2,27,27,16,"2"
"36516","cf4a9c391269eda5eba1139a9920936b",76,57,2,38,76,20,"3"
"36517","cf4baa31bb362ecbc34283ab685de822",57,46,2,28.5,57,20,"2"
"36518","cf50967bac5e0a096b20f6519519ddd6",40,37,2,20,40,12,"2"
"36519","cf552cc89d9244ec90f2651e0d7bd0b9",54,54,2,54,54,54,"2"
"36520","cf5a92d4d8293ac061b54554a357ea06",28,28,2,28,28,14,"2"
"36521","cf5c5adbb328072d73d2af7f4c6d0b77",41,34,2,20.5,41,12,"2"
"36522","cf5e67c8d782cf1bc4eb1174ba0541dc",69,67,2,34.5,69,21,"3"
"36523","cf5f4e74f603b18d91b0e41bad1c4f92",52,44,2,26,52,15,"2"
"36524","cf61b02f6b6348bcb715a2771a17534f",141,95,2,35.25,96,45,"3"
"36525","cf649e2a19485f0cb0178f352f3efb5b",40,40,3,40,34,40,"2"
"36526","cf64a6bcf69327e6a97faddb8c709c4d",184,80,3,36.8,79,75,"3"
"36527","cf65bfde1b19b3c7b6c7459a32f94af0",102,70,3,34,76,26,"3"
"36528","cf65df2a51ebcb45668037371d230cd2",29,27,3,14.5,29,28,"2"
"36529","cf662ccdab25bd868eac84a765efb5a1",68,55,2,34,33,35,"2"
"36530","cf66efee96eb883ae418cca05266a97f",271,100,3,44.8571428571429,258,46,"1"
"36531","cf670ec64be8c5416771067dc81f0b29",292,97,3,26.5454545454545,257,24,"1"
"36532","cf67fc49ab49889295f73f20a18b61eb",18,18,2,18,18,11,"2"
"36533","cf68c29cc6b0c81ac86813508821e7d2",56,41,3,14,56,8,"2"
"36534","cf6963bfeabdb0526fc73ad28b0dabf3",54,43,2,27,54,21,"2"
"36535","cf6965ffd6350b73fc9b13dcbb4ee9c8",48,48,2,48,48,29,"2"
"36536","cf69f164da888a9e0caa9cbe0bcd1c2d",20,20,2,20,20,11,"2"
"36537","cf69f2384d6e94fb274ef7ae892aff35",11,10,2,10,1,6,"2"
"36538","cf6a52a72d7606cd7015e3ff322ce87a",108,60,3,27,82,26,"3"
"36539","cf6adfbfeda8c46b55d0470b7bf40601",20,20,2,20,20,11,"2"
"36540","cf6bb31eca03762e18bbea5eae9b14d4",70,62,2,35,70,27,"3"
"36541","cf6c2365970751b6ccdb467dcebd053f",62,53,2,31,62,22,"2"
"36542","cf6dbe385b9182185c184ad6f9f64588",30,30,2,30,30,28,"2"
"36543","cf6ed2533f4daf2eb60cc18ca0c4acd6",11,10,2,10,10,3,"2"
"36544","cf7208615fec49d5ec8de8654444cbd7",102,53,2,34,102,29,"3"
"36545","cf7571e8a9ad4fb2e677577aa009def3",18,18,2,18,18,11,"2"
"36546","cf789b0a151ca1784f6b72a08b8f44c1",11,10,2,10,4,6,"2"
"36547","cf79f1daae73a2b2c051fd3e659a57c1",134,108,2,44.6666666666667,2,72,"3"
"36548","cf7b7696f36e714cc862c2b464920832",28,28,2,28,28,14,"2"
"36549","cf7b7d5df850e214c84418f937e253fd",146,97,3,48.6666666666667,146,43,"3"
"36550","cf7bea962cb3e92421445177c7a75a61",76,39,2,25.3333333333333,76,21,"2"
"36551","cf7d61c100941db3dd0fcaebeab9ea08",102,95,2,51,102,32,"3"
"36552","cf7f173be5cf89a027cda696af920301",33,33,3,33,31,33,"2"
"36553","cf7f43d5cd21da08104bc03db1783766",33,33,2,33,33,16,"2"
"36554","cf807ccab8fcd73b9d2b105ed8b2c8bf",89,79,3,44.5,89,39,"3"
"36555","cf82387d066b2aa29a2bf13ed85de0c6",236,110,3,40,163,73,"1"
"36556","cf824fda0429beec6222f90e8492fc7f",16,16,2,16,16,8,"2"
"36557","cf8321f2dddcfbb1b80dd5e84f881301",50,50,2,50,50,28,"2"
"36558","cf834808144379f6b02e651fc517ba94",78,62,2,39,39,39,"2"
"36559","cf84610a992efa29c796576b462b8892",109,72,3,27.25,109,23,"3"
"36560","cf855e0f0e2cbfd98d532320f5537b28",42,34,2,21,42,14,"2"
"36561","cf87e5623827d92fa33812f2ed1ff66e",11,10,2,10,10,3,"2"
"36562","cf8972d92f2eb2b1a4ad1b600c6ba214",13,11,2,12,13,12,"2"
"36563","cf8b9fc0efd5e242e0a07e6b845617e9",243,82,2,34.7142857142857,210,33,"1"
"36564","cf8e460766c86c5f1c8c97b0c598d8f4",11,11,2,11,11,9,"2"
"36565","cf9283a6737be018ceffb6769bd42590",11,10,2,10,6,5,"2"
"36566","cf92cb83865c1fcad6b6cd0017390918",29,29,2,29,29,16,"2"
"36567","cf94af01b36a36ba4ce0d68f1ddad1b7",54,54,2,54,1,54,"2"
"36568","cf966b46f0d6356b90504b3f79b8d158",184,92,2,36.8,184,29,"1"
