id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
9af9392a560e40b821800460ea93b62a,41,25,3,95.66666666666667,41,0,12410,1
8f2ad4e32809774b7528653d6dded47d,3,3,1,21,3,0,10240,1
e8908eca6905096eef6e96051bad0b94,10,10,1,70,10,0,01012,1
1fc687ac8935e5a93e56f1e90be79003,41,31,1,287,41,0,08452,1
e450e3a0dbacb6f202b4512ff294a089,43,43,1,301,43,0,01026,1
d2ee91f6b2f2a0c8d05f6cbc608ce6ad,68,60,2,238,68,0,05040,2
14febd14ff3e2c368da0f84fcfea618e,102,80,3,238,102,0,02691,3
82bacc489ac09ff1ac4f7f292adc6010,15,15,1,105,15,0,08230,1
1b924e4629ba269c28d96f6b972bc495,65,58,2,227.5,65,0,05100,2
3b2530dd22a174f310178576e102a430,50,47,1,350,50,0,05040,1
41022282a43c4d6abdd21cbf1955c703,45,39,4,78.75,41,4,04060,2
c1d22b98e8c8e41f4d7940b6d6658877,66,60,3,154,35,31,10040,2
69771a39b2c5139576b00e58ea47d5b3,90,77,1,630,90,0,09010,3
da7fe7c643033d77ccea0930430edf9f,334,73,3,779.3333333333334,309,25,10140,4
4bf12b5d5d6a67dbe2275aba6f10a32c,789,149,6,920.5,683,106,01012,4
a6b2086e82f5965bafe28ada8b2e791b,11,11,1,77,11,0,13930,1
cd058c3ba61007941414819b4d9008d2,31,31,1,217,31,0,04060,1
3ffc9ca6d5726eea6901c905d2b156a9,414,141,5,579.6,414,0,05040,4
5f2fbb267af848065f43f9794567298f,153,114,2,535.5,41,112,05100,3
ebf393306204bb590b4062c67e8f4f67,33,33,1,231,33,0,10200,1
34cf7d35b077ccdf99a1bdec7c8643af,60,60,1,420,60,0,06100,2
d8ddfaa4b63c319d19c530f8b0957ae3,278,97,3,648.6666666666667,206,72,11040,4
241280b7d9062f98106df7acec16b5d6,58,42,3,135.33333333333334,58,0,01085,2
849ca44633c1a27c73d67a5666c5f9d8,194,95,2,679,48,146,05040,4
6146c9e3b83477330ad869d5c82987bf,51,47,2,178.5,51,0,10040,1
ead4a9115ffe8e978805b1f4c68edd22,261,128,3,609,261,0,05040,4
8bf9f3d4510ce056cd0c7e670621e1e6,15,15,1,105,15,0,05040,1
9f7c8ee5acc321cbf372abeca9d74ada,51,46,1,357,51,0,01013,1
c19e29a95f613de598225f01af737019,23,23,1,161,23,0,05040,1
8eeb1a6fd24a9f147d0cdcd56149699d,21,21,1,147,21,0,08390,1
015be0cae058e56a1873b8cd19ce6173,39,39,1,273,39,0,01027,1
28a407093053e0aee710fcedda559f69,60,48,2,210,29,31,01026,2
e3bb4a9ecc7fc936b1958dfedaf28116,32,32,1,224,32,0,09130,1
0890d9acff256c47f7fa107239cb0068,50,50,1,350,50,0,13820,1
75e6b649a3652c285ecd6a7c84cbe7fa,205,116,3,478.33333333333337,205,0,08010,4
00723ea93efad2f4c7b36491a50662b4,22,22,1,154,0,22,04032,1
37ba31e15ddc3f3edce5b783507a11e0,142,77,3,331.33333333333337,142,0,01026,3
de33534dbf5dd05a76bd51b03f07dca2,363,183,4,635.25,198,165,13955,4
c4673b9e64442627f259d75df574d1a3,15,15,1,105,15,0,09010,1
1969eacf26fe2bba310338c5da9a827f,439,236,6,512.1666666666667,385,54,05040,4
5d68c1b9f59e62e9f3bf337e7fb6ff74,368,221,4,644,368,0,01027,4
1a5b9cfad84c37e8e1794f726df86833,142,76,3,331.33333333333337,57,85,04200,3
b60a92f1eaec4bf95f76efcfa6427381,80,50,3,186.66666666666669,53,27,05030,2
