"cod_est","descripcion"
"03091020","CEFALOPODOS OTROS"
"03200105","VERDURA NATURAL"
"03200305","CEFALÓPODO OTROS"
"03200306","CEFALOPODO PULPO"
"03200307","MERLUZA"
"03200310","PESCADO NATURAL OTROS"
"03200407","LANGOSTINOS"
"03200410","GAMBON"
"03200415","MARISCOS PELADOS"
"03200605","CEFALOPODOS EMPANADOS"
"03200610","BASE MARISCO"
"03200615","PREPARADOS CARNICOS"
"03200620","CROQUETAS"
"04011601","QUESO TIERNO OTROS"
"04011602","QUESO TIERNO VACA"
"04011701","QUESO SEMI MEZCLA"
"04011702","QUESO SEMI VACA"
"04011703","QUESO SEMI CABRA"
"04011801","QUESO CURADO MEZCLA"
"04011802","QUESO CURADO VACA Y CABRA"
"04011804","QUESO CURADO OVEJA"
"04011901","QUESO VIEJO MEZCLA"
"04011903","QUESO VIEJO CABRA"
"04011904","QUESO VIEJO OVEJA"
"04012002","QUESO LONCHAS NACIONAL"
"04012005","QUESO LONCHAS INTERNACIONAL"
"04012101","QUESO BOLA EDAM"
"04012102","QUESO GOUDA"
"04012103","QUESO MAASDAM"
"04012104","QUESO EMMENTAL"
"04012105","PASTA BLANDA"
"04012106","RULOS CABRA Y ROULES"
"04012107","OTROS INTERNACIONALES"
"04012202","QUESOS AZULES INTERNACIONALES"
"04012204","QUESOS AZULES NACIONALES"
"04012301","QUESOS FRESCOS MEZCLA"
"04012302","QUESOS FRESCOS VACA"
"04012307","OTROS QUESOS FRESCOS"
"04012401","CARNES DE MEMBRILLOS"
"04012402","COMPLEMENTOS QUESO"
"04012403","DULCES Y CREMAS DE MEMBRILLO"
"04012501","QUESOS SALUD OTROS"
"04012502","QUESOS SALUD BAJOS EN SAL"
"04020101","JAMON COCIDO  MOSTRADOR"
"04020105","PALETA COCIDA  MOSTRADOR"
"04020115","BACON  MOSTRADOR"
"04020117","BUTIFARRA  MOSTRADOR"
"04020119","CABEZA DE CERDO  MOSTRADOR"
"04020121","OTROS COCIDOS CERDO  MOSTRADOR"
"04020123","FIAMBRE DE CERDO MOSTRADOR"
"04020130","LACON COCIDO MOSTRADOR"
"04020201","PECHUGA DE POLLO MOSTRADOR"
"04020211","OTROS COCIDOS DE AVE  MOSTRADOR"
"04020213","JAMON DE PAVO MOSTRADOR"
"04020225","MORTADELA DE PAVO MOSTRADOR"
"04020230","PECHUGA DE PAVO MOSTRADOR"
"04020301","CENTRO JAMON CURADO  MOSTRADOR"
"04020303","CENTRO PALETA CURADA  MOSTRADOR"
"04020306","LOMO CURADOS  MOSTRADOR"
"04020308","PANCETA  MOSTRADOR"
"04020312","OTROS CARNICOS CURADO  MOSTRADOR"
"04020314","JAMON CURADO CORTE CUCHILLO MOSTRADOR"
"04020340","CABECERO DE LOMO"
"04020401","CHORIZO VELA  MOSTRADOR"
"04020403","CHORIZO CULAR  MOSTRADOR"
"04020405","CHORIZO PAMPLONA  MOSTRADOR"
"04020407","SALCHICHON VELA MOSTRADOR"
"04020409","SALCHICHON CULAR  MOSTRADOR"
"04020411","SALAMI  MOSTRADOR"
"04020413","EMBUTIDO DE AVE MOSTRADOR"
"04020419","SOBRASADA  MOSTRADOR"
"04020421","MORCILLA  MOSTRADOR"
"04020424","OTROS EMBUTIDOS  MOSTRADOR"
"04020501","CENTRO JAMON IBERICO CEBO MOST"
"04020503","CENTRO PALETA IBERICA CEBO MOS"
"04020505","LOMO IBERICO  MOSTRADOR"
"04020507","CHORIZO IBERICO  MOSTRADOR"
"04020509","SALCHICHON IBERICO MOSTRADOR"
"04020515","OTROS IBERICOS  MOSTRADOR"
"04020517","JAMON IBÉRICO CORTE CUCHILLO MOSTRADOR"
"04020525","CENTRO JAMON IBERICO BELLOTA"
"04020530","CENTRO PALETA IBERICA BELLOTA"
"04031601","QUESO TIERNO MEZCLA PORCIÓN"
"04031602","QUESO TIERNO VACA PORCIÓN"
"04031604","QUESO TIERNO OTROS PORCION"
"04031701","QUESO SEMI MEZCLA PORCIÓN"
"04031702","QUESO SEMI VACA PORCIÓN"
"04031703","QUESO SEMI CABRA PORCIÓN"
"04031704","QUESO SEMI OVEJA PORCIÓN"
"04031801","QUESO CURADO MEZCLA PORCIÓN"
"04031802","QUESO CURADO VACA PORCIÓN"
"04031803","QUESO CURADO CABRA PORCIÓN"
"04031804","QUESO CURADO OVEJA PORCIÓN"
"04031901","QUESO VIEJO MEZCLA PORCIÓN"
"04031904","QUESO VIEJO OVEJA PORCIÓN"
"04032060","LONCHAS PORCION NACIONAL"
"04032065","LONCHAS PORCION INTERNACIONAL"
"04032101","QUESO BOLA EDAM PORCIÓN"
"04032102","QUESO GOUDA PORCIÓN"
"04032103","QUESO MAASDAM PORCIÓN"
"04032104","QUESO EMMENTAL PORCIÓN"
"04032105","PASTA BLANDA PORCIÓN"
"04032107","OTROS INTERNACIONALES PORCIÓN"
"04032110","QUESO ITALIANO PORCION"
"04032201","QUESO AZULES Y VETEADOS PORCIÓN"
"04032601","TABLAS DE QUESO"
"04032602","CORTADOS PORCION"
"04032605","OTROS PORCION"
"04033005","QUESOS RULO PORCION"
"04033010","QUESOS MEDALLONES PORCION"
"04060302","JAMON CURADO PORCION"
"04060304","PALETA CURADA POCION"
"04060307","LOMO CURADO PORCION"
"04060309","PANCETA PORCION"
"04060313","OTROS CURADOS PORCION"
"04060326","COCINA CURADOS"
"04060330","SURTIDOS Y TABLAS VARIADAS"
"04060335","JAMON CURADO RESERVA PORCION"
"04060402","CHORIZO VELA PORCION"
"04060404","CHORIZO CULAR PORCION"
"04060406","CHORIZO PAMPLONA PORCION"
"04060408","SALCHICHON VELA PORCION"
"04060410","SALCHICHON CULAR PORCION"
"04060412","SALAMI PORCION"
"04060414","EMBUTIDOS AVE PORCION"
"04060424","OTROS EMBUTIDOS PORCION"
"04060430","SURTIDOS Y TABLAS EMBUTIDOS"
"04060435","LONGANIZA Y FUET PORCION"
"04060502","JAMON IBERICO PORCION"
"04060504","PALETA IBERICA PORCION"
"04060506","LOMO IBERICO PORCION"
"04060508","CHORIZO IBERICO PORCION"
"04060510","SALCHICHON IBERICO PORCION"
"04060520","SURTIDOS Y TABLAS IBERICOS"
"04080104","LOMO CURADO PIEZA"
"04080106","TACOS PANCETA"
"04080107","CODILLOS"
"04080108","OTROS CARNICOS CURADOS PIEZAS."
"04080110","TACO JAMON CURADO"
"04080111","TACO PALETA CURADA"
"04080201","CHORIZO VELA PIEZA"
"04080202","CHORIZO CULAR PIEZA"
"04080205","CHORIZO CASERO PIEZA"
"04080206","CHORIZO SARTA"
"04080207","CHORIZO FRESCO RISTRA, ROSARIO"
"04080208","CHISTORRA"
"04080209","SOBRASADA PIEZA"
"04080212","SALCHICHON CASERO PIEZA"
"04080213","LONGANIZA PIEZA"
"04080214","FUET"
"04080218","MORCILLA PIEZA"
"04080219","PREPARADOS PARA PUCHERO"
"04080220","OTROS EMBUTIDOS PIEZAS"
"04080225","FUET MINIS"
"04080230","CHORIZO SARTA EXTRA"
"04080303","LOMO IBERICO PIEZA"
"04080304","CHORIZO IBERICO PIEZA"
"04080305","SALCHICHON IBERICO PIEZA"
"04080308","OTROS IBERICOS PIEZA"
"04081005","LOTE EMBUTIDO"
"04090101","PATES CERDO MOST DIARIO/OCASIO"
"04090201","PATES PATO/OCA MOST DIARI/OCAS"
"04090205","PATES PATO/OCA MOST CELEBRACIO"
"04090301","OTROS PATES MOST DIARIO/OCASIO"
"04110101","PATES CERDO PORCION DIARI/OCAS"
"04110201","PATES PATO/OCA PORC DIARI/OCAS"
"04110210","PATES PATO/OCA PORCI CELEB BLO"
"04110215","PATES PATO/OCA PORCI CELEB ENT"
"04110302","CREMAS Y SOBRASADAS"
"04110305","JAMON DE PATO"
"04110705","TABLAS PATES PATO/OCA"
"04110710","TABLAS PATES CERDO"
"04130101","SALCHICHAS FRANKFURT"
"04130201","SALCHICHAS VIENA"
"04130301","SALCHICHAS QUESO"
"04130401","SALCHICHAS GRUESAS"
"04130503","SALCHICHAS AVE "
"04130601","SALCHICHAS INFANTILES"
"04130602","SALCHICHAS ADULTOS"
"04130701","APERITIVOS"
"04200505","JAMON DE CERDO"
"04200510","JAMON DE CERDO BRASEADO"
"04200515","YORK Y PALETA"
"04200520","FIAMBRE DE CERDO"
"04200525","LACON DE CERDO"
"04200530","CABEZA DE CERDO"
"04200535","OTROS COCIDOS CERDO"
"04201005","PECHUGA DE PAVO"
"04201010","PECHUGA DE PAVO BRASEADO"
"04201015","PECHUGA DE POLLO"
"04201020","FIAMBRE DE AVE"
"04201025","OTROS COCIDOS AVE"
"04201505","BACON LONCHAS"
"04201510","TAQUITOS BACON"
"04201515","TAQUITOS COCIDOS"
"04201520","PLANCHA"
"04202505","MINI CERDO"
"04202510","MINI AVE"
"04252505","QUESOS FRESCOS Y CREMAS INTERN"
"04253505","QUESOS INT PASTA DURA/SEMID RC"
"04300505","JAMON BODEGA PIEZA"
"04300510","JAMON G. RESERVA PIEZA"
"04300515","JAMON RESERVA PIEZA"
"04300520","PALETA BLANCA PIEZA"
"04301005","PALETA IBERICA"
"04301010","JAMON IBERICO"
"04351535","SALCHICHON IBERICO MOSTRADOR"
"04352015","LOMO IBERICO PORCION"
"04352030","SURTIDOS Y TABLAS PORCION"
"04352515","SALCHICHON IBERICO PIEZA"
"05030101","LECHE UHT ENTERA"
"05030102","LECHE UHT SEMIDESNATADA"
"05030103","LECHE UHT DESNATADA"
"05030301","LECHE BOTELLA ENTERA"
"05030302","LECHE BOTELLA SEMIDESNATADA"
"05030303","LECHE BOTELLA DESNATADA"
"05030401","LECHE ESPECIAL CALCIO"
"05030402","LECHE ESPECIAL VITAMINADA"
"05030403","LECHE ESPECIAL PREP.LACTEO"
"05030404","LECHE ESPECIAL CRECIMIENTO"
"05030406","LECHE SIN LACTOSA ENTERA"
"05030410","LECHE SIN LACTOSA SEMIDESNTADA"
"05030415","LECHE SIN LACTOSA DESNATADA"
"05030420","LECHE SIN LACTOSA VARIAS"
"05030498","LECHE ESPECIAL VARIOS"
"05030601","BEBIDA DE SOJA"
"05030603","BEBIDA DE AVENA"
"05030610","BEBIDA DE ARROZ"
"05030615","BEBIDA DE ALMENDRA"
"05030620","OTRAS BEBIDAS VEGETALES"
"05040180","ENTERO NATURAL"
"05040181","ENTERO DE SABORES"
"05040182","ENTERO CON TROZOS"
"05040183","DESNATADO NATURAL"
"05040184","DESNATADO DE SABORES"
"05040185","DESNATADO CON TROZOS"
"05040186","BASE NO LACTEA"
"05040187","SIN LACTOSA"
"05040188","LIQUIDOS"
"05040189","PROTEICOS"
"05040280","TIPO GRIEGO NATURAL"
"05040281","TIPO GRIEGO CON TROZOS"
"05040282","TIPO GRIEGO ESPECIALIDADES"
"05040283","CRISTAL "
"05040284","KEFIR"
"05040285","BIO"
"05040295","OTROS"
"05040480","PETIT"
"05040481","INFANTILES LIQUIDO"
"05040482","INFANTILES BOLSILLO"
"05040495","OTROS"
"05040580","CUAJADA"
"05040581","NATILLAS"
"05040582","FLANES"
"05040583","ARROZ CON LECHE"
"05040584","GELATINAS"
"05040595","OTROS"
"05040680","CAFES Y OTROS BEBIBLES"
"05040681","MOUSSES"
"05040682","COPAS CON NATA"
"05040695","OTROS"
"05041180","COLESTEROL"
"05041181","PROBIOTICO NATURAL"
"05041182","PROBIOTICO DE SABORES"
"05041183","BIFIDUS ENTERO NATURAL"
"05041184","BIFIDUS ENTERO DE SABORES"
"05041185","BIFIDUS ENTERO CON TROZOS"
"05041186","BIFIDUS DESNATADO NATURAL"
"05041187","BIFIDUS DESNATADO DE SABORES"
"05041188","BIFIDUS DESNATADO CON TROZOS"
"05041195","OTROS"
"05100102","QUESO FRESCO BATIDO Y QUARK"
"05100104","Q. FRESCO FETA Y ENSALADAS"
"05100105","QUESO FRESCO MOZZARELLA"
"05100109","REQUESON Y OTROS"
"05100110","MASCARPONES Y TARTAS"
"05100114","Q. FRESCO BURGOS TRADICIONAL"
"05100115","QUESO FRESCO BURGOS SALUD"
"05100120","QUESO FRESCO BURGOS UF"
